PropertyID,PropertyName,PropertyType,Bedrooms,Bathrooms,AreaSqFt,ConstructionYear,Status,LocationID
P072,Elite Towers 468,Independent House,3,2,1847,2018,Sold,L004
P073,Orchid Homes 144,Apartment,1,1,740,2022,Rented,L008
P074,Silver Oak 121,Apartment,1,1,1660,2019,Rented,L010
P075,Sapphire Towers 728,Apartment,2,2,1539,2020,Available,L002
P076,Palm Residency 681,Apartment,2,2,1692,2024,Available,L002
P077,Green Valley 556,Plot,0,0,5245,2022,Rented,L010
P078,Orchid Homes 994,Apartment,2,2,930,2020,Available,L003
P079,Silver Oak 884,Commercial Office,0,0,1253,2023,Rented,L002
P080,Palm Residency 662,Plot,0,0,6072,2025,Available,L006
P081,Orchid Homes 722,Villa,6,5,3999,2025,Sold,L009
P082,Skyline Heights 589,Apartment,2,2,1496,2015,Rented,L009
P083,Elite Towers 698,Plot,0,0,6890,2021,Rented,L003
P084,Skyline Heights 686,Apartment,3,3,743,2025,Sold,L006
P085,Green Valley 993,Commercial Office,0,0,3505,2015,Rented,L001
P086,Urban Nest 878,Villa,6,5,4449,2026,Available,L005
P087,Skyline Heights 575,Independent House,5,4,2111,2024,Available,L004
P088,Prime Heights 376,Commercial Office,0,0,4954,2022,Rented,L001
P089,Sapphire Towers 584,Villa,5,4,4057,2026,Sold,L010
P090,Urban Nest 471,Commercial Office,0,0,1020,2026,Sold,L006
P091,Palm Residency 341,Independent House,3,2,1820,2017,Available,L002
P092,Skyline Heights 257,Commercial Office,0,0,4005,2015,Rented,L008
P093,Prime Heights 150,Plot,0,0,6769,2024,Sold,L004
P094,Urban Nest 807,Commercial Office,0,0,1177,2017,Rented,L002
P095,Lake View 526,Villa,4,3,4086,2023,Rented,L009
P096,Orchid Homes 215,Apartment,2,2,811,2017,Sold,L007
P097,Orchid Homes 360,Plot,0,0,6245,2026,Available,L010
P098,Silver Oak 752,Apartment,2,2,1106,2018,Available,L006
P099,Orchid Homes 678,Villa,3,2,3500,2018,Rented,L002
P100,Silver Oak 451,Commercial Office,0,0,5191,2019,Available,L008
P101,Green Valley 142,Villa,5,4,4694,2020,Rented,L009
P102,Sapphire Towers 545,Plot,0,0,4605,2022,Sold,L002
P103,Palm Residency 520,Villa,3,2,4563,2020,Rented,L001
P104,Lake View 685,Villa,4,3,4680,2015,Rented,L001
P105,Skyline Heights 401,Apartment,2,2,1309,2023,Sold,L002
P106,Lake View 146,Villa,6,5,2823,2026,Available,L008
P107,Urban Nest 704,Apartment,3,3,1627,2017,Available,L010
P108,Silver Oak 704,Plot,0,0,4983,2025,Available,L010
P109,Elite Towers 312,Villa,4,3,4515,2023,Rented,L005
P110,Prime Heights 735,Independent House,3,2,2344,2020,Sold,L003
P111,Lake View 122,Villa,5,4,4493,2023,Available,L002
P112,Prime Heights 104,Commercial Office,0,0,1562,2026,Available,L001
P113,Palm Residency 464,Apartment,1,1,1242,2015,Rented,L009
P114,Silver Oak 134,Apartment,2,2,1732,2024,Rented,L001
P115,Elite Towers 544,Apartment,3,3,1242,2020,Available,L001
P116,Green Valley 214,Independent House,5,4,2526,2023,Available,L005
P117,Elite Towers 554,Plot,0,0,3522,2017,Sold,L005
P118,Green Valley 437,Plot,0,0,5499,2025,Sold,L008
P119,Sapphire Towers 720,Independent House,5,4,1395,2024,Rented,L003
P120,Elite Towers 331,Apartment,3,3,911,2016,Available,L001
P121,Orchid Homes 613,Plot,0,0,1965,2017,Sold,L002
P122,Prime Heights 144,Apartment,1,1,1425,2021,Available,L004
P123,Skyline Heights 425,Apartment,3,3,903,2018,Sold,L008
P124,Green Valley 348,Independent House,4,3,3289,2024,Available,L005
P125,Silver Oak 893,Commercial Office,0,0,5478,2017,Available,L010
P126,Elite Towers 775,Villa,5,4,3986,2025,Available,L010
P127,Palm Residency 675,Villa,4,3,3763,2017,Available,L009
P128,Silver Oak 302,Commercial Office,0,0,3982,2021,Available,L003
P129,Silver Oak 683,Villa,3,2,3204,2017,Sold,L006
P130,Urban Nest 232,Plot,0,0,4320,2026,Available,L003
P131,Lake View 812,Independent House,3,2,2796,2015,Rented,L009
P132,Orchid Homes 151,Independent House,5,4,2518,2017,Rented,L005
P133,Lake View 926,Apartment,3,3,794,2016,Sold,L006
P134,Skyline Heights 151,Independent House,5,4,2639,2016,Sold,L007
P135,Orchid Homes 107,Commercial Office,0,0,2906,2021,Available,L007
P136,Urban Nest 834,Villa,6,5,2578,2015,Available,L005
P137,Skyline Heights 120,Plot,0,0,5012,2026,Rented,L005
P138,Sapphire Towers 989,Apartment,1,1,1516,2026,Rented,L003
P139,Lake View 197,Commercial Office,0,0,3246,2017,Rented,L007
P140,Skyline Heights 802,Independent House,3,2,1890,2016,Available,L007
P141,Prime Heights 710,Plot,0,0,5891,2019,Sold,L004
P142,Prime Heights 635,Independent House,4,3,1514,2025,Available,L010
P143,Skyline Heights 455,Plot,0,0,4821,2016,Sold,L005
P144,Sapphire Towers 702,Plot,0,0,3563,2017,Available,L002
P145,Urban Nest 788,Independent House,4,3,1432,2016,Rented,L002
P146,Sapphire Towers 644,Apartment,1,1,1416,2022,Sold,L010
P147,Orchid Homes 130,Commercial Office,0,0,5482,2024,Sold,L002
P148,Green Valley 681,Villa,4,3,4339,2023,Sold,L001
P149,Palm Residency 937,Villa,4,3,3726,2023,Rented,L002
P150,Orchid Homes 609,Apartment,2,2,788,2016,Rented,L004
P151,Elite Towers 761,Independent House,3,2,3018,2017,Available,L009
P152,Silver Oak 955,Villa,3,2,3814,2019,Rented,L005
P153,Palm Residency 262,Apartment,2,2,1111,2016,Available,L002
P154,Elite Towers 207,Apartment,1,1,1425,2018,Available,L009
P155,Elite Towers 501,Villa,6,5,4959,2025,Sold,L002
P156,Orchid Homes 227,Commercial Office,0,0,1852,2019,Rented,L004
P157,Green Valley 757,Commercial Office,0,0,5201,2024,Available,L010
P158,Skyline Heights 659,Villa,5,4,4202,2021,Rented,L007
P159,Sapphire Towers 257,Independent House,4,3,2776,2016,Rented,L005
P160,Palm Residency 521,Commercial Office,0,0,5024,2018,Rented,L002
P161,Orchid Homes 792,Plot,0,0,5830,2024,Rented,L009
P162,Palm Residency 188,Independent House,3,2,3073,2024,Rented,L006
P163,Palm Residency 476,Independent House,2,2,2740,2025,Rented,L010
P164,Sapphire Towers 918,Independent House,5,4,1222,2019,Available,L010
P165,Orchid Homes 292,Commercial Office,0,0,3431,2022,Available,L008
P166,Palm Residency 487,Apartment,1,1,1241,2026,Available,L001
P167,Palm Residency 915,Apartment,3,3,1327,2024,Sold,L007
P168,Green Valley 442,Commercial Office,0,0,2929,2021,Rented,L005
P169,Skyline Heights 887,Independent House,2,2,2644,2026,Rented,L006
P170,Sapphire Towers 699,Plot,0,0,4269,2020,Rented,L008
P171,Palm Residency 106,Commercial Office,0,0,5759,2022,Available,L004
P172,Palm Residency 937,Plot,0,0,1692,2018,Rented,L002
P173,Prime Heights 206,Commercial Office,0,0,4398,2024,Available,L002
P174,Skyline Heights 761,Villa,5,4,4864,2020,Available,L006
P175,Elite Towers 801,Villa,3,2,2758,2021,Sold,L008
P176,Prime Heights 783,Independent House,3,2,3162,2016,Sold,L007
P177,Elite Towers 587,Commercial Office,0,0,1340,2019,Available,L009
P178,Silver Oak 470,Villa,3,2,4503,2024,Sold,L006
P179,Urban Nest 167,Villa,4,3,3138,2020,Sold,L007
P180,Palm Residency 685,Independent House,4,3,2665,2020,Available,L009
P181,Prime Heights 396,Independent House,3,2,1706,2018,Rented,L003
P182,Prime Heights 309,Plot,0,0,4057,2020,Sold,L003
P183,Skyline Heights 726,Independent House,5,4,2539,2015,Rented,L005
P184,Elite Towers 974,Plot,0,0,2032,2016,Sold,L004
P185,Silver Oak 921,Commercial Office,0,0,5161,2018,Sold,L007
P186,Prime Heights 305,Plot,0,0,4363,2015,Sold,L005
P187,Green Valley 514,Commercial Office,0,0,1655,2024,Available,L010
P188,Urban Nest 357,Commercial Office,0,0,2084,2024,Available,L003
P189,Palm Residency 411,Apartment,3,3,716,2025,Sold,L004
P190,Palm Residency 938,Independent House,2,2,2627,2015,Rented,L003
P191,Elite Towers 666,Independent House,5,4,2130,2022,Sold,L003
P192,Skyline Heights 439,Villa,5,4,2990,2018,Available,L004
P193,Silver Oak 453,Independent House,5,4,2730,2026,Sold,L008
P194,Palm Residency 219,Independent House,4,3,2872,2016,Sold,L007
P195,Silver Oak 151,Apartment,1,1,1739,2017,Rented,L003
P196,Palm Residency 583,Plot,0,0,5283,2023,Rented,L007
P197,Sapphire Towers 438,Commercial Office,0,0,5338,2015,Sold,L004
P198,Orchid Homes 670,Independent House,5,4,1465,2024,Available,L009
P199,Silver Oak 302,Plot,0,0,3847,2015,Available,L009
P200,Silver Oak 577,Villa,3,2,2681,2015,Sold,L001
P201,Green Valley 711,Commercial Office,0,0,2350,2018,Sold,L007
P202,Green Valley 794,Commercial Office,0,0,5485,2023,Available,L001
P203,Palm Residency 692,Independent House,3,2,2069,2017,Sold,L009
P204,Silver Oak 530,Apartment,1,1,1204,2018,Sold,L007
P205,Lake View 242,Commercial Office,0,0,5018,2018,Rented,L002
P206,Urban Nest 162,Independent House,4,3,2924,2022,Sold,L009
P207,Lake View 929,Plot,0,0,6181,2022,Sold,L005
P208,Urban Nest 434,Plot,0,0,6299,2024,Sold,L007
P209,Sapphire Towers 580,Villa,5,4,4900,2015,Available,L004
P210,Sapphire Towers 621,Plot,0,0,5748,2020,Rented,L006
P211,Silver Oak 425,Commercial Office,0,0,3399,2023,Available,L001
P212,Elite Towers 301,Apartment,2,2,910,2023,Rented,L004
P213,Elite Towers 543,Independent House,3,2,2082,2022,Sold,L003
P214,Silver Oak 336,Independent House,2,2,1869,2015,Sold,L001
P215,Palm Residency 417,Villa,5,4,2208,2026,Available,L007
P216,Urban Nest 366,Plot,0,0,1996,2019,Rented,L008
P217,Palm Residency 395,Plot,0,0,6796,2023,Sold,L010
P218,Skyline Heights 865,Apartment,1,1,716,2019,Available,L007
P219,Lake View 828,Villa,3,2,4021,2026,Rented,L005
P220,Sapphire Towers 134,Plot,0,0,1639,2019,Sold,L003
P221,Orchid Homes 326,Villa,5,4,3716,2018,Rented,L007
P222,Silver Oak 247,Villa,6,5,2818,2017,Available,L005
P223,Silver Oak 967,Commercial Office,0,0,3294,2024,Rented,L002
P224,Lake View 299,Plot,0,0,1787,2020,Rented,L003
P225,Skyline Heights 717,Plot,0,0,3512,2023,Available,L008
P226,Silver Oak 726,Plot,0,0,2552,2025,Available,L008
P227,Lake View 298,Villa,4,3,4616,2023,Rented,L005
P228,Palm Residency 650,Commercial Office,0,0,5928,2026,Rented,L005
P229,Green Valley 463,Villa,5,4,3366,2015,Available,L001
P230,Elite Towers 690,Independent House,4,3,3239,2019,Rented,L004
P231,Elite Towers 654,Plot,0,0,1513,2025,Rented,L001
P232,Urban Nest 452,Plot,0,0,2446,2026,Available,L001
P233,Elite Towers 491,Independent House,2,2,2412,2024,Available,L002
P234,Prime Heights 232,Villa,6,5,4377,2015,Available,L002
P235,Prime Heights 345,Apartment,1,1,1489,2019,Rented,L009
P236,Green Valley 987,Commercial Office,0,0,1354,2018,Available,L010
P237,Sapphire Towers 104,Commercial Office,0,0,4221,2016,Sold,L002
P238,Orchid Homes 584,Villa,6,5,4602,2021,Rented,L006
P239,Lake View 831,Independent House,5,4,1521,2024,Available,L003
P240,Silver Oak 610,Commercial Office,0,0,2510,2025,Available,L002
P241,Elite Towers 206,Independent House,2,2,2292,2015,Available,L004
P242,Green Valley 505,Plot,0,0,5085,2019,Available,L007
P243,Urban Nest 906,Villa,4,3,3774,2019,Available,L006
P244,Green Valley 815,Commercial Office,0,0,2773,2023,Sold,L006
P245,Urban Nest 651,Independent House,4,3,2357,2020,Sold,L007
P246,Orchid Homes 151,Apartment,3,3,940,2018,Rented,L006
P247,Prime Heights 373,Commercial Office,0,0,1659,2023,Sold,L010
P248,Sapphire Towers 207,Plot,0,0,6222,2026,Sold,L005
P249,Prime Heights 719,Independent House,4,3,3253,2021,Rented,L001
P250,Skyline Heights 457,Commercial Office,0,0,2013,2019,Available,L002
P251,Sapphire Towers 378,Apartment,1,1,981,2018,Available,L004
P252,Sapphire Towers 585,Apartment,1,1,1276,2019,Sold,L001
P253,Green Valley 270,Villa,6,5,4589,2020,Available,L010
P254,Skyline Heights 691,Independent House,5,4,3188,2020,Rented,L001
P255,Lake View 626,Commercial Office,0,0,3714,2023,Rented,L002
P256,Lake View 673,Villa,3,2,4212,2020,Available,L007
P257,Lake View 509,Commercial Office,0,0,5797,2016,Available,L007
P258,Elite Towers 974,Villa,3,2,4403,2020,Available,L005
P259,Sapphire Towers 486,Commercial Office,0,0,4718,2020,Available,L007
P260,Skyline Heights 540,Independent House,2,2,3477,2025,Available,L006
P261,Lake View 504,Independent House,3,2,3250,2017,Available,L008
P262,Sapphire Towers 283,Plot,0,0,2214,2025,Available,L004
P263,Palm Residency 866,Apartment,3,3,940,2015,Sold,L002
P264,Silver Oak 591,Independent House,2,2,1931,2025,Rented,L008
P265,Skyline Heights 497,Apartment,3,3,839,2017,Available,L002
P266,Palm Residency 960,Independent House,3,2,2519,2020,Available,L002
P267,Elite Towers 285,Villa,6,5,3215,2017,Available,L001
P268,Urban Nest 147,Plot,0,0,4086,2026,Sold,L003
P269,Elite Towers 372,Plot,0,0,4214,2020,Available,L005
P270,Skyline Heights 903,Apartment,3,3,1113,2019,Sold,L005
P271,Green Valley 486,Commercial Office,0,0,1884,2025,Available,L005
P272,Prime Heights 720,Villa,5,4,3682,2019,Sold,L004
P273,Skyline Heights 767,Apartment,1,1,862,2018,Available,L005
P274,Urban Nest 660,Commercial Office,0,0,4477,2018,Sold,L008
P275,Orchid Homes 297,Apartment,3,3,1034,2026,Sold,L006
P276,Elite Towers 838,Commercial Office,0,0,5107,2017,Rented,L010
P277,Green Valley 338,Independent House,3,2,2205,2026,Rented,L010
P278,Silver Oak 477,Plot,0,0,2208,2020,Rented,L007
P279,Orchid Homes 275,Commercial Office,0,0,1834,2023,Available,L009
P280,Silver Oak 606,Commercial Office,0,0,2844,2025,Rented,L001
P281,Prime Heights 513,Commercial Office,0,0,1770,2019,Available,L002
P282,Silver Oak 243,Plot,0,0,3836,2019,Rented,L010
P283,Lake View 297,Apartment,1,1,1209,2017,Available,L004
P284,Urban Nest 619,Villa,3,2,4932,2016,Sold,L008
P285,Sapphire Towers 827,Commercial Office,0,0,2219,2017,Sold,L009
P286,Green Valley 322,Commercial Office,0,0,1111,2018,Available,L003
P287,Lake View 956,Plot,0,0,2350,2018,Rented,L009
P288,Elite Towers 322,Commercial Office,0,0,1597,2016,Rented,L006
P289,Elite Towers 453,Apartment,2,2,1519,2019,Rented,L008
P290,Skyline Heights 148,Plot,0,0,6276,2019,Rented,L005
P291,Skyline Heights 892,Apartment,2,2,713,2018,Available,L010
P292,Orchid Homes 667,Commercial Office,0,0,5327,2026,Available,L007
P293,Palm Residency 370,Independent House,2,2,2442,2019,Rented,L005
P294,Lake View 149,Villa,5,4,3448,2026,Available,L009
P295,Green Valley 915,Apartment,2,2,1400,2018,Rented,L007
P296,Prime Heights 671,Commercial Office,0,0,4336,2018,Sold,L003
P297,Silver Oak 929,Commercial Office,0,0,5038,2026,Available,L005
P298,Sapphire Towers 774,Apartment,3,3,1592,2017,Rented,L010
P299,Sapphire Towers 248,Commercial Office,0,0,1258,2021,Available,L008
P300,Prime Heights 917,Plot,0,0,4259,2025,Rented,L004
P301,Urban Nest 351,Independent House,5,4,2235,2015,Rented,L004
P302,Prime Heights 426,Villa,3,2,4817,2026,Rented,L004
P303,Orchid Homes 405,Villa,5,4,2261,2020,Available,L003
P304,Skyline Heights 265,Commercial Office,0,0,4624,2023,Sold,L010
P305,Green Valley 434,Plot,0,0,6220,2021,Rented,L002
P306,Silver Oak 630,Villa,5,4,4890,2026,Available,L001
P307,Orchid Homes 784,Independent House,2,2,2877,2018,Rented,L006
P308,Lake View 987,Independent House,5,4,3460,2016,Sold,L010
P309,Silver Oak 513,Commercial Office,0,0,2667,2025,Available,L006
P310,Skyline Heights 904,Apartment,1,1,800,2026,Available,L009
P311,Skyline Heights 487,Plot,0,0,2479,2022,Rented,L006
P312,Urban Nest 973,Villa,3,2,3513,2026,Available,L009
P313,Sapphire Towers 899,Plot,0,0,5110,2015,Rented,L008
P314,Skyline Heights 329,Villa,5,4,2287,2018,Sold,L006
P315,Sapphire Towers 112,Apartment,2,2,1306,2026,Sold,L004
P316,Prime Heights 415,Villa,4,3,3340,2017,Rented,L007
P317,Skyline Heights 965,Villa,4,3,3466,2025,Rented,L003
P318,Sapphire Towers 172,Independent House,4,3,2270,2024,Rented,L001
P319,Sapphire Towers 514,Apartment,1,1,933,2020,Available,L009
P320,Urban Nest 980,Villa,4,3,4328,2025,Available,L004
P321,Prime Heights 175,Apartment,1,1,1676,2018,Sold,L003
P322,Silver Oak 604,Commercial Office,0,0,2831,2018,Sold,L010
P323,Elite Towers 675,Plot,0,0,1624,2023,Rented,L006
P324,Silver Oak 854,Independent House,5,4,1671,2017,Rented,L009
P325,Palm Residency 556,Plot,0,0,4200,2018,Sold,L005
P326,Orchid Homes 840,Villa,3,2,2605,2024,Rented,L006
P327,Skyline Heights 925,Apartment,1,1,1186,2017,Rented,L010
P328,Palm Residency 571,Plot,0,0,5722,2026,Rented,L004
P329,Silver Oak 878,Plot,0,0,1785,2025,Sold,L006
P330,Prime Heights 631,Independent House,4,3,2396,2022,Sold,L006
P331,Skyline Heights 317,Plot,0,0,5091,2016,Rented,L003
P332,Palm Residency 697,Villa,4,3,3982,2017,Sold,L005
P333,Elite Towers 700,Independent House,5,4,2063,2018,Rented,L007
P334,Lake View 477,Independent House,4,3,3240,2022,Available,L007
P335,Palm Residency 779,Commercial Office,0,0,2139,2024,Rented,L004
P336,Sapphire Towers 679,Plot,0,0,3155,2017,Available,L006
P337,Orchid Homes 760,Plot,0,0,1206,2025,Available,L004
P338,Elite Towers 392,Apartment,3,3,799,2025,Rented,L006
P339,Elite Towers 689,Independent House,5,4,1468,2026,Sold,L001
P340,Skyline Heights 235,Apartment,3,3,1314,2021,Rented,L003
P341,Skyline Heights 912,Independent House,4,3,1907,2016,Rented,L010
P342,Prime Heights 988,Apartment,1,1,1011,2024,Available,L010
P343,Prime Heights 973,Apartment,1,1,944,2016,Available,L002
P344,Silver Oak 218,Villa,6,5,4022,2019,Available,L001
P345,Palm Residency 992,Villa,3,2,4192,2018,Rented,L003
P346,Sapphire Towers 168,Apartment,1,1,1549,2026,Rented,L007
P347,Elite Towers 978,Commercial Office,0,0,4850,2021,Rented,L009
P348,Green Valley 246,Commercial Office,0,0,4686,2021,Sold,L005
P349,Lake View 941,Apartment,3,3,739,2024,Available,L001
P350,Silver Oak 195,Independent House,3,2,3455,2026,Sold,L009
P351,Urban Nest 355,Plot,0,0,3044,2020,Rented,L003
P352,Lake View 138,Commercial Office,0,0,2967,2026,Sold,L001
P353,Elite Towers 435,Commercial Office,0,0,5240,2023,Available,L007
P354,Prime Heights 339,Apartment,1,1,1118,2018,Available,L005
P355,Urban Nest 359,Villa,4,3,4639,2017,Rented,L004
P356,Orchid Homes 426,Independent House,2,2,2796,2022,Available,L006
P357,Sapphire Towers 731,Villa,5,4,3892,2015,Sold,L003
P358,Silver Oak 434,Apartment,1,1,1625,2018,Sold,L006
P359,Prime Heights 826,Villa,5,4,4614,2025,Available,L005
P360,Palm Residency 676,Independent House,3,2,3407,2021,Sold,L007
P361,Orchid Homes 153,Villa,4,3,4884,2021,Available,L005
P362,Elite Towers 648,Independent House,2,2,2463,2026,Available,L008
P363,Silver Oak 679,Independent House,3,2,1470,2019,Available,L004
P364,Lake View 126,Villa,3,2,3748,2018,Available,L009
P365,Lake View 648,Villa,6,5,2258,2020,Sold,L005
P366,Prime Heights 512,Apartment,1,1,1391,2026,Available,L002
P367,Prime Heights 489,Independent House,2,2,3198,2023,Rented,L003
P368,Orchid Homes 553,Commercial Office,0,0,3028,2018,Sold,L002
P369,Urban Nest 162,Commercial Office,0,0,4406,2018,Rented,L005
P370,Palm Residency 432,Apartment,3,3,709,2016,Rented,L008
P371,Sapphire Towers 617,Independent House,3,2,1301,2026,Rented,L001
P372,Palm Residency 328,Independent House,5,4,3254,2021,Rented,L007
P373,Silver Oak 378,Apartment,1,1,805,2015,Rented,L005
P374,Prime Heights 632,Apartment,2,2,1411,2018,Available,L008
P375,Urban Nest 681,Commercial Office,0,0,5221,2019,Sold,L002
P376,Elite Towers 759,Apartment,2,2,1529,2025,Rented,L004
P377,Prime Heights 816,Commercial Office,0,0,3297,2021,Rented,L006
P378,Elite Towers 544,Plot,0,0,5863,2019,Sold,L007
P379,Lake View 552,Commercial Office,0,0,3647,2021,Sold,L009
P380,Orchid Homes 729,Villa,4,3,3677,2025,Sold,L008
P381,Silver Oak 486,Apartment,1,1,1397,2017,Available,L003
P382,Urban Nest 486,Plot,0,0,2097,2023,Sold,L001
P383,Silver Oak 804,Apartment,3,3,1382,2024,Sold,L007
P384,Silver Oak 274,Commercial Office,0,0,5255,2021,Sold,L010
P385,Orchid Homes 354,Villa,4,3,2460,2025,Sold,L008
P386,Orchid Homes 135,Commercial Office,0,0,2727,2015,Rented,L004
P387,Silver Oak 996,Plot,0,0,2046,2020,Sold,L008
P388,Green Valley 893,Villa,3,2,2402,2026,Rented,L008
P389,Urban Nest 933,Apartment,2,2,1392,2021,Sold,L006
P390,Lake View 832,Apartment,3,3,970,2026,Sold,L002
P391,Lake View 493,Independent House,2,2,3429,2022,Available,L006
P392,Orchid Homes 986,Apartment,3,3,1647,2015,Available,L003
P393,Prime Heights 162,Villa,5,4,3051,2018,Rented,L009
P394,Lake View 584,Villa,3,2,4048,2023,Rented,L007
P395,Green Valley 181,Commercial Office,0,0,4309,2019,Available,L004
P396,Silver Oak 985,Villa,4,3,3239,2023,Available,L008
P397,Urban Nest 448,Apartment,2,2,1205,2024,Available,L003
P398,Sapphire Towers 765,Villa,4,3,4870,2023,Rented,L005
P399,Prime Heights 533,Commercial Office,0,0,1546,2018,Available,L001
P400,Silver Oak 537,Independent House,3,2,2128,2025,Sold,L007
P401,Palm Residency 559,Plot,0,0,4934,2023,Sold,L006
P402,Elite Towers 981,Commercial Office,0,0,5942,2026,Available,L007
P403,Palm Residency 651,Independent House,4,3,2901,2020,Rented,L001
P404,Prime Heights 693,Independent House,3,2,3196,2025,Available,L005
P405,Prime Heights 322,Villa,5,4,2769,2018,Rented,L004
P406,Prime Heights 440,Villa,6,5,3179,2018,Sold,L010
P407,Prime Heights 301,Apartment,3,3,911,2021,Sold,L002
P408,Silver Oak 312,Independent House,4,3,1663,2017,Sold,L008
P409,Urban Nest 610,Villa,3,2,4162,2020,Available,L008
P410,Elite Towers 403,Commercial Office,0,0,1228,2015,Sold,L001
P411,Prime Heights 631,Independent House,3,2,1548,2022,Available,L009
P412,Prime Heights 385,Plot,0,0,5908,2021,Rented,L005
